fecha,ICA,municipio,modelo,tipo,RMSE,MAE,MSE,ICA_real,ICA_7
2025-01-11,35,ALGETE,prophet_30,real,9.0,1,1,35,35.0
2025-01-12,35,ALGETE,prophet_30,real,9.0,3,12,35,35.0
2025-01-13,46,ALGETE,prophet_30,real,9.0,7,48,46,46.0
2025-01-14,37,ALGETE,prophet_30,real,9.0,13,171,37,37.0
2025-01-15,83,ALGETE,prophet_30,real,9.0,9,90,83,83.0
2025-01-16,75,ALGETE,prophet_30,real,9.0,0,0,75,75.0
2025-01-17,40,ALGETE,prophet_30,real,9.0,1,1,40,40.0
2025-01-18,81,ALGETE,prophet_30,real,9.0,12,140,81,81.0
2025-01-19,36,ALGETE,prophet_30,real,9.0,11,120,36,36.0
2025-01-20,50,ALGETE,prophet_30,real,9.0,2,4,50,50.0
2025-01-21,25,ALGETE,prophet_30,real,9.0,5,22,25,25.0
2025-01-22,32,ALGETE,prophet_30,real,9.0,3,8,32,32.0
2025-01-23,33,ALGETE,prophet_30,real,9.0,1,1,33,33.0
2025-01-24,42,ALGETE,prophet_30,real,9.0,3,7,42,42.0
2025-01-25,31,ALGETE,prophet_30,real,9.0,2,4,31,31.0
2025-01-26,27,ALGETE,prophet_30,real,9.0,1,0,27,27.0
2025-01-27,36,ALGETE,prophet_30,real,9.0,5,23,36,36.0
2025-01-28,51,ALGETE,prophet_30,real,9.0,20,381,51,51.0
2025-01-29,33,ALGETE,prophet_30,real,9.0,8,63,33,33.0
2025-01-30,36,ALGETE,prophet_30,real,9.0,3,12,36,36.0
2025-01-31,44,ALGETE,prophet_30,real,9.0,3,9,44,44.0
2025-02-01,37,ALGETE,prophet_30,real,9.0,4,20,37,37.0
2025-02-02,45,ALGETE,prophet_30,real,9.0,1,2,45,45.0
2025-02-03,37,ALGETE,prophet_30,real,9.0,1,1,37,37.0
2025-02-04,54,ALGETE,prophet_30,real,9.0,4,20,54,54.0
2025-02-05,59,ALGETE,prophet_30,real,9.0,2,6,59,59.0
2025-02-06,45,ALGETE,prophet_30,real,9.0,0,0,45,45.0
2025-02-07,63,ALGETE,prophet_30,real,9.0,9,81,63,63.0
