fecha,municipio,ICA_real
2025-03-30,ALCORCÓN,59.130434782608695
2025-03-18,MÓSTOLES,59.0
2025-03-27,ALCOBENDAS,58.958333333333336
2025-03-01,ARGANDA DEL REY,58.916666666666664
2025-03-25,"ROZAS, LAS",58.916666666666664
2025-03-28,LEGANÉS,58.875
2025-03-16,COSLADA,58.791666666666664
2025-03-07,PARLA,58.75
2025-03-02,MÓSTOLES,58.416666666666664
2025-03-26,TORREJÓN DE ARDOZ,58.375
2025-03-29,PARLA,58.291666666666664
2025-03-25,ARGANDA DEL REY,58.291666666666664
2025-03-24,POZUELO DE ALARCÓN,58.291666666666664
2025-03-12,VILLA DEL PRADO,58.291666666666664
2025-03-04,ARANJUEZ,58.291666666666664
